fold,r2,mae,rmse,scatter,bias,max_abs_residual,median_residual,slope_true_predicted,converged,epochs_trained,val_loss,train_images,val_images
1,0.9635385870933533,0.03729439526796341,0.046068485254177276,0.04389194,0.013992967,0.13019246,0.016490176,0.9266677255021409,True,26,0.002122305566444993,7080,792
2,0.6556711196899414,0.061421241611242294,0.14407996656198435,0.13978967,0.03489817,0.812544,0.013781145,0.6015297606964458,False,200,0.020759033039212227,7080,792
3,0.947076141834259,0.03716388717293739,0.051446246817177854,0.050154068,0.011458005,0.18639845,0.01698266,0.9453927371641784,True,77,0.0026467163115739822,7080,792
4,0.9145417809486389,0.05926240608096123,0.07646946667743412,0.072738625,0.023593893,0.24321508,0.017737314,0.9747529135710168,True,14,0.005847579333931208,7080,792
5,0.9273009300231934,0.04739299416542053,0.061836311862725646,0.060184103,0.014198718,0.2960329,0.016288012,0.9977123489006091,True,109,0.003823729231953621,7080,792
6,0.9217901825904846,0.05476568639278412,0.06394738403115476,0.047524754,0.04278628,0.21186483,0.051737666,0.9041284998832223,False,200,0.0040892683900892735,7080,792
7,0.9112000465393066,0.0597928948700428,0.07091305479582079,0.045573663,0.05432957,0.16335654,0.055334404,0.9335375716305138,False,200,0.005028661340475082,7080,792
8,0.8293473720550537,0.04621574282646179,0.08731981995453819,0.08731967,-0.00015741028,0.6896397,0.014021218,1.1275320445791421,False,200,0.007624749559909105,7104,768
9,0.9504861831665039,0.03844566270709038,0.0496813846594588,0.0495704,-0.0033189347,0.18231353,0.0025848001,0.9114720459694609,True,31,0.0024682399816811085,7080,792
10,0.9610448479652405,0.03470003977417946,0.041238865552999306,0.039831243,0.010682527,0.09709212,0.007624492,0.9025786426750544,True,21,0.001700644032098353,7104,768
