fold,r2,mae,rmse,scatter,bias,val_loss
1,0.8394980430603027,0.06761188060045242,0.08428948172442835,0.0773225,-0.033555143,0.007104715798050165
2,0.9058952331542969,0.062218040227890015,0.07642001912412588,0.070241325,-0.030102776,0.005840019788593054
3,0.8022078275680542,0.07112908363342285,0.0902503907658843,0.07525165,-0.04982292,0.008145133033394814
4,0.7378554344177246,0.07870952785015106,0.09678759958410381,0.06850906,-0.06836921,0.009367839433252811
5,0.9419691562652588,0.037302225828170776,0.05156427537505927,0.051473547,-0.0030574468,0.0026588740292936563
6,0.694927990436554,0.07984080165624619,0.10596370236539371,0.0902405,-0.0555424,0.011228305287659168
7,0.8916656970977783,0.06741882115602493,0.08737309994903279,0.073255494,-0.047620285,0.007634059526026249
8,0.11172139644622803,0.11620590835809708,0.2519489997703485,0.25194857,0.0004680512,0.06347829848527908
9,0.3675421476364136,0.12441933155059814,0.20896002369124395,0.17760402,-0.11009588,0.04366429150104523
10,0.8607446551322937,0.05464601144194603,0.07283495542426155,0.07176893,-0.012415741,0.005304930731654167
