,fold,r2,mae,rmse,scatter,bias,val_loss,train_images,val_images
0,1,0.9436746835708618,0.03512439504265785,0.04993269402392357,0.0499299,0.0005286134,0.0024932739324867725,7080,792
1,2,0.9134037494659424,0.05956427752971649,0.07330790432504025,0.057448514,0.045538083,0.005374049302190542,7080,792
2,3,0.966483473777771,0.031199326738715172,0.03715129887153668,0.036229696,0.008223636,0.0013802186585962772,7080,792
3,4,0.8633136749267578,0.057466112077236176,0.0698894782642805,0.04529053,0.05322881,0.004884537775069475,7080,792
4,5,0.9616517424583435,0.032447751611471176,0.04191721416624619,0.040240668,0.011736332,0.0017570526106283069,7080,792
5,6,0.8797290325164795,0.05581611022353172,0.06653289079277876,0.049254373,0.044728428,0.004426625557243824,7080,792
6,7,0.9499841928482056,0.04968768730759621,0.059367446120876396,0.049980998,0.032037377,0.0035244931932538748,7080,792
7,8,0.48423099517822266,0.0751943588256836,0.19198427698209403,0.19196282,-0.002870974,0.0368579626083374,7080,792
8,9,0.8813130855560303,0.061489492654800415,0.09052089330742931,0.07517975,0.05041863,0.008194032125175,7104,768
9,10,0.9584830403327942,0.030904432758688927,0.039769174578046816,0.032649282,0.022707082,0.001581587246619165,7104,768
