epochs,r2,mae,rmse,bias,train_loss
10,0.6051479578018188,0.09866832196712494,0.13495676335064144,0.022085616,0.04068746045231819
50,0.7088538408279419,0.08986977487802505,0.11588653597844797,0.04373152,0.023388376459479332
100,0.9183613657951355,0.05168731138110161,0.06136564614929905,0.025835717,0.006872966885566711
150,0.9463987946510315,0.04068399965763092,0.04972385878603075,0.013777873,0.004203924909234047
